,領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,1,中國語文知識與應用,7101134,1,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),莊家瑋,2  2/0/0,2,通識,"一2,3",共同教室大樓213,53
1,1,中國語文知識與應用,7101134,2,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳康寧,2  2/0/0,2,通識,"一2,3",共同教室大樓214,53
2,1,中國語文知識與應用,7101134,3,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),葉書珊,2  2/0/0,2,通識,"一2,3",共同教室大樓205,53
3,1,中國語文知識與應用,7101134,4,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳厚任,2  2/0/0,2,通識,"一2,3",共同教室大樓204,53
4,1,中國語文知識與應用,7101134,5,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳逸根,2  2/0/0,2,通識,"一2,3",共同教室大樓201,53
5,1,中國語文知識與應用,7101134,6,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳伯謙,2  2/0/0,2,通識,"一2,3",共同教室大樓202,53
6,1,中國語文知識與應用,7101134,7,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳厚任,2  2/0/0,2,通識,"一10,11",共同教室大樓213,53
7,1,中國語文知識與應用,7101134,8,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),鍾媄媜,2  2/0/0,2,通識,"一10,11",共同教室大樓214,53
8,1,中國語文知識與應用,7101134,9,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),李映瑾,2  2/0/0,2,通識,"一10,11",共同教室大樓204,53
9,1,中國語文知識與應用,7101134,10,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),莊家瑋,2  2/0/0,2,通識,"一10,11",共同教室大樓205,53
